page,title,updated,pre_count
tablesa/alg2026.html,Algeria 2025/26,2026-02-02,4
tablesa/ango2026.html,Angola 2025/26,2026-04-09,4
tablesb/benin2026.html,Benin 2025/26,2026-04-02,1
tablesb/bots2026.html,Botswana 2025/26,2026-04-02,1
tablesb/burkf2026.html,Burkina Faso 2025/26,2026-04-02,1
tablesb/buru2026.html,Burundi 2025/26,2026-04-02,1
tablesk/kam2026.html,Cameroon 2026,2026-04-02,1
tablesk/kaapv2026.html,Cape Verde Islands 2025/26,2026-04-07,11
tablesc/cafr2024.html,Central African Republic 2023/24,2024-12-04,2
tablesc/cafr2025.html,Central African Republic 2024/25,2025-02-17,1
tablest/tsja2025.html,Chad 2024/25,2025-04-25,2
tablesc/como2025.html,Comoros 2024/25,2025-06-28,3
tablesk/kong2025.html,Congo (Brazzaville) 2025,2025-04-08,1
tablesz/zaire2026.html,Congo-Kinshasa (DR Congo) 2025/26,2026-04-02,1
tablesd/dji2025.html,Djibouti 2024/25,2025-06-04,1
tablese/egy2025.html,Egypt 2024/25,2025-08-10,4
tablese/eqguinea2025.html,Equatorial Guinea 2024/25,2026-03-06,4
tablese/erit2025.html,Eritrea 2025,2025-07-25,1
tabless/swaz2026.html,Swaziland (Eswatini) 2025/26,2026-04-02,1
tablese/ethi2026.html,Ethiopia 2025/26,2026-04-02,1
tablesg/gab2026.html,Gabon 2026,2026-04-02,1
tablesg/gamb2026.html,Gambia 2025/26,2026-03-16,1
tablesg/gha2026.html,Ghana 2025/26,2026-04-02,1
tablesg/guinea2026.html,Guinea 2025/26,2026-04-02,1
tablesg/gbis2026.html,Guinea Bissau 2025/26,2026-04-09,2
tablesi/ivo2026.html,Ivory Coast 2025/26,2026-04-02,1
tablesk/kenya2026.html,Kenya 2025/26,2026-04-02,1
tablesl/leso2026.html,Lesotho 2025/26,2026-04-02,1
tablesl/liber2026.html,Liberia 2025/26,2026-04-02,1
tablesl/lib2025.html,Libya 2024/25,2025-12-17,1
tablesm/madag2026.html,Madagascar 2025/26,2026-04-02,1
tablesm/malaw2025.html,Malawi 2025,2026-02-12,2
tablesm/mali2026.html,Mali 2025/26,2026-04-02,1
tablesm/maur2026.html,Mauritania 2025/26,2026-04-02,1
tablesm/mauri2026.html,Mauritius 2025/26,2026-03-16,1
tablesm/mayo2025.html,Mayotte 2025,2026-01-12,3
tablesm/maro2025.html,Morocco 2024/25,2025-10-31,2
tablesm/moz2025.html,Mozambique 2025,2026-03-21,5
tablesn/nami2026.html,Namibia 2025/26,2026-03-21,1
tablesn/niger2026.html,Niger 2025/26,2026-01-29,1
tablesn/nig2026.html,Nigeria 2025/26,2026-04-02,1
tablesr/reunion2025.html,Réunion 2025,2025-12-23,3
tablesr/rodri2025.html,Rodrigues 2024/25,2025-10-16,5
tablesr/rwan2026.html,Rwanda 2025/26,2026-04-02,1
tabless/sthelena2025.html,Saint Helena 2025,2025-12-23,3
tabless/saotome2026.html,São Tomé e Príncipe 2026,2026-01-21,5
tabless/sene2026.html,Senegal 2025/26,2026-04-02,1
tabless/sey2026.html,Seychelles 2025/26,2026-03-26,2
tabless/sier2026.html,Sierra Leone 2025/26,2026-03-16,1
tabless/soma2026.html,Somalia 2025/26,2026-02-16,2
tabless/somalil2024.html,Somaliland 2023/24,2025-11-06,3
tablesz/zaf2025.html,South Africa 2024/25,2025-07-07,3
tablesz/zsoed2026.html,South Sudan 2025/26,2026-03-21,1
tabless/soed2026.html,Sudan 2026,2026-02-16,1
tablest/tanz2026.html,Tanzania (Mainland) 2025/26,2026-04-02,1
tablest/togo2026.html,Togo 2025/26,2026-04-02,1
tablest/tun2025.html,Tunisia 2024/25,2025-06-05,3
tableso/oeg2026.html,Uganda 2025/26,2026-03-16,1
tablesz/zamb2026.html,Zambia 2025/26,2026-04-09,3
tablesz/zanz2026.html,Zanzibar 2025/26,2026-04-05,1
tablesz/zimb2026.html,Zimbabwe 2026,2026-03-24,1
tablesa/alaska2025.html,Alaska 2025,2025-12-23,1
tablesa/anguilla2025.html,Anguilla 2025,2025-07-03,1
tablesa/antig2026.html,Antigua and Barbuda 2025/26,2026-03-19,1
tablesa/arg2026.html,Argentina 2026,2026-04-09,5
tablesa/aruba2026.html,Aruba 2025/26,2026-03-22,2
tablesb/bahama2026.html,Bahamas 2025/26,2026-03-24,1
tablesb/barb2026.html,Barbados 2026,2026-03-19,1
tablesb/belize2026.html,Belize 2025/26,2026-04-02,1
tablesb/berm2026.html,Bermuda 2025/26,2026-04-05,3
tablesb/bol2025.html,Bolivia 2025,2026-03-21,2
tablesb/bonaire2026.html,Bonaire 2025/26,2026-04-02,1
tablesb/braz2025.html,Brazil 2025,2025-12-23,4
tablesb/brmaagd2026.html,British Virgin Islands 2025/26,2026-04-02,1
