page,title,updated,pre_count
tablese/eng93.html,England 1992/93,2004-07-07,1
tablese/eng94.html,England 1993/94,2004-07-07,1
tablese/eng95.html,England 1994/95,2011-11-04,1
tablese/eng96.html,England 1995/96,2004-07-07,1
tablese/eng97.html,England 1996/97,2016-09-15,1
tablese/eng98.html,England 1997/98,2007-01-26,1
tablese/eng99.html,England 1998/99,1999-12-20,1
tablese/eng00.html,England 1999/2000,2001-04-15,1
tablese/eng01.html,England 2000/01,2006-02-15,1
tablese/eng02.html,England 2001/02,2006-02-15,1
tablese/eng03.html,England 2002/03,2006-02-15,1
tablese/eng04.html,England 2003/04,2006-02-15,1
tablese/eng05.html,England 2004/05,2007-11-23,1
tablese/eng06.html,England 2005/06,2007-05-18,1
tablese/eng07.html,England 2006/07,2008-08-22,1
tablese/eng08.html,England 2007/08,2009-05-21,1
tablese/eng09.html,England 2008/09,2014-05-08,1
tablese/eng2010.html,England 2009/10,2020-12-23,6
tablese/eng2011.html,England 2010/11,2015-02-05,6
tablese/eng2012.html,England 2011/12,2021-01-28,6
tablese/eng2013.html,England 2012/13,2015-02-05,6
tablese/eng2014.html,England 2013/14,2020-12-23,6
tablese/eng2015.html,England 2014/15,2021-01-14,6
tablese/eng2016.html,England 2015/16,2019-07-18,6
tablese/eng2017.html,England 2016/17,2021-01-14,6
tablese/eng2018.html,England 2017/18,2019-07-18,6
tablese/eng2019.html,England 2018/19,2022-07-07,6
tablese/eng2020.html,England 2019/20,2025-06-12,6
tablese/eng2021.html,England 2020/21,2025-06-15,6
tablese/eng2022.html,England 2021/22,2023-06-14,5
tablese/eng2023.html,England 2022/23,2025-06-15,5
tablese/eng2024.html,England 2023/24,2024-10-11,5
tablese/eng2025.html,England 2024/25,2025-05-26,1
tabless/span2011.html,Spain 2010/11,2024-03-25,4
tabless/span2012.html,Spain 2011/12,2021-01-28,3
tabless/span2013.html,Spain 2012/13,2018-09-13,3
tabless/span2014.html,Spain 2013/14,2020-09-29,3
tabless/span2015.html,Spain 2014/15,2021-01-28,3
